Course Code Start End Location Days
ANTHRO 4498B 13:30 16:30 SSC-3315 M
ANTHRO 4498B 13:30 16:30 SSC-2257 T
APPLMATH 4999Z 12:30 13:30 NCB-101 MWF
APPLMATH 4999Z 08:30 09:30 NSC-1 MWF
APPLMATH 4999Z 18:30 20:30 SH-2317 H
APPLMATH 4999Z 14:30 16:30 SSC-3010 T
APPLMATH 4999Z 10:30 12:30 SSC-3024 H
APPLMATH 4999Z 08:30 09:30 MC-110 MWF
APPLMATH 4999Z 09:30 11:30 HSB-236 T
APPLMATH 4999Z 09:30 11:30 SEB-1056 T
APPLMATH 4999Z 10:30 12:30 SSC-3018 H
APPLMATH 4999Z 18:30 20:30 HSB-35 H
APPLMATH 4999Z 13:30 14:30 TC-141 MWF
APPLMATH 4999Z 15:30 16:30 SEB-1059 M
APPLMATH 4999Z 15:30 16:30 SEB-2200 H
APPLMATH 4999Z 14:30 15:30 FNB-1250 F
APPLMATH 4999Z 15:30 16:30 SEB-2200 MWF
APPLMATH 4999Z 14:30 15:30 SSC-2024 F
APPLMATH 4999Z 13:30 14:30 SEB-2202 W
APPLMATH 4999Z 15:30 16:30 TC-141 MWF
APPLMATH 4999Z 12:30 13:30 SEB-2202 F
APPLMATH 4999Z 09:30 10:30 UCC-37 F
APPLMATH 4999Z 13:30 14:30 SSC-2032 M
APPLMATH 4999Z 08:30 09:30 MC-110 MWF
APPLMATH 4999Z 08:30 09:30 SSC-2050 MWF
APPLMATH 4999Z 09:30 10:30 AHB-1R40 MWF
APPLMATH 4999Z 12:30 13:30 SEB-2100 F
APPLMATH 4999Z 10:30 11:30 FNB-3210 F
APPLMATH 4999Z 11:30 12:30 FNB-3210 F
APPLMATH 4999Z 12:30 13:30 SSC-2024 F
APPLMATH 4999Z 10:30 11:30 SEB-2100 F
APPLMATH 4999Z 11:30 12:30 SEB-2100 F
APPLMATH 4999Z 15:30 16:30 SSC-2032 W
APPLMATH 4999Z 08:30 09:30 UCC-56 MWF
APPLMATH 4999Z 11:30 12:30 SEB-1200 F
APPLMATH 4999Z 08:30 09:30 SSC-2050 MWF
APPLMATH 4999Z 10:30 11:30 SSC-2050 MWF
APPLMATH 4999Z 09:30 10:30 SSC-2050 T
APPLMATH 4999Z 10:30 11:30 SEB-1200 M
APPLMATH 4999Z 15:30 16:30 SSC-2036 H
APPLMATH 4999Z 08:30 09:30 SSC-2036 T
APPLMATH 4999Z 08:30 09:30 AHB-1R40 MWF
APPLMATH 4999Z 11:30 12:30 SEB-2202 F
APPLMATH 4999Z 14:30 15:30 SEB-2202 M
APPLMATH 4999Z 11:30 12:30 SSC-2036 T
APPLMATH 4999Z 12:30 13:30 SSC-3022 MWF
APPLMATH 4999Z 08:30 09:30 SSC-1032 F
APPLMATH 4999Z 09:30 10:30 SSC-1032 H
APPLMATH 4999Z 09:30 10:30 SSC-1032 F
APPLMATH 4999Z 12:30 13:30 WSC-240 MWF
APPLMATH 4999Z 08:30 09:30 MC-105B MWF
APPLMATH 4999Z 09:30 10:30 SSC-1032 H
APPLMATH 4999Z 08:30 09:30 SSC-1032 T
